rater,familiarity,section_idx,cluster_id,our_label,our_domain,ours_letter,intruder_letter,t1,t3,t4,t5,match_t1,match_t3,match_t4
R9,3,23,31,Race leader changes,Race dynamics,a,c,a,a,Race dynamics,5,False,True,True
R9,3,24,5,Weather conditions,Strategy & technical,c,d,d,c,Strategy & technical,4,True,True,True
R9,3,25,30,Lap pace & timing,Strategy & technical,b,a,a,b,Race dynamics,5,True,True,False
R9,3,26,29,Corner specific moves,Race dynamics,c,d,d,b,Race dynamics,5,True,False,True
R9,3,27,2,Lights-out race starts,Race dynamics,b,c,c,b,Race dynamics,2,True,True,True
R9,3,28,7,Race start lights,Race dynamics,b,c,c,b,Race dynamics,2,True,True,True
R9,3,29,24,Inter-car distance,Strategy & technical,c,a,c,c,Race dynamics,5,False,True,False
R9,3,30,17,Gap & pace,Strategy & technical,b,e,e,b,Race dynamics,5,True,True,False
R9,3,31,9,Formula 1 milestones,Narrative & meta,a,c,c,a,Narrative & meta,4,True,True,True
R9,3,32,25,Driver & team references,Narrative & meta,b,d,e,b,Race dynamics,4,False,True,False
R9,3,33,28,Corner battles,Race dynamics,c,b,b,b,Race dynamics,5,True,False,True
R9,3,34,27,Overtake battles,Race dynamics,a,e,e,b,Race dynamics,5,True,False,True
